id_funcional,nome_completo,cpf,vencimento_reciclagem,certificacoes,soft_skills,perfil_comportamental,nota_performance,cep_base,escala_atual,ultimo_posto
VIG-10193,Ana Carolina Rios,436.***.***-99,2025-06-06,"Escolta Armada, Monitoramento de CFTV, Vigilância Patrimonial","Resolução de Conflitos, Empatia, Discrição",Demonstra facilidade em lidar com público diverso.,8.8,01310-100,5x2 Comercial,Cavalcante Duarte S.A. - Unidade 3
VIG-10194,Aurora Dias,740.***.***-23,2025-09-23,"Escolta Armada, Segurança Pessoal (VSPP)","Resolução de Conflitos, Empatia","Focado e observador, antecipa riscos no perímetro.",9.9,08410-000,12x36 Noite,Nascimento - Unidade 1
VIG-10195,Miguel Duarte,798.***.***-77,2026-05-22,Monitoramento de CFTV,"Pontualidade Extrema, Empatia","Focado e observador, antecipa riscos no perímetro.",8.5,02011-000,12x36 Dia,da Conceição - Unidade 8
VIG-10196,Sra. Catarina Melo,869.***.***-20,2026-10-08,Vigilância Patrimonial,"Resolução de Conflitos, Empatia, Perfil Analítico, Comunicação Assertiva",Demonstra facilidade em lidar com público diverso.,9.3,01013-001,12x36 Dia,Pacheco Viana Ltda. - Unidade 7
VIG-10197,Alícia Sousa,401.***.***-20,2026-05-27,"Segurança Pessoal (VSPP), Transporte de Valores, Vigilância Patrimonial","Comunicação Assertiva, Discrição, Proatividade, Perfil Analítico, Atenção Concentrada, Empatia",Excelente pontualidade e assiduidade.,9.4,01310-100,5x2 Comercial,Melo - Unidade 7
VIG-10198,Liam Sampaio,356.***.***-90,2025-04-04,"Grandes Eventos, Segurança Pessoal (VSPP), Monitoramento de CFTV","Proatividade, Resolução de Conflitos, Discrição, Atenção Concentrada, Empatia",Possui postura exemplar e uniforme sempre impecável.,8.7,02011-000,12x36 Noite,Silva Nunes e Filhos - Unidade 2
VIG-10199,Daniela Fonseca,712.***.***-13,2027-05-20,Grandes Eventos,"Resolução de Conflitos, Trabalho sob Pressão, Atenção Concentrada, Comunicação Assertiva, Empatia",Profissional muito elogiado pelo cliente.,9.5,01202-001,12x36 Noite,Jesus S.A. - Unidade 2
VIG-10200,Mirella Correia,042.***.***-60,2025-04-22,"Escolta Armada, Grandes Eventos","Pontualidade Extrema, Resolução de Conflitos, Proatividade, Liderança de Equipe, Comunicação Assertiva, Discrição",Possui postura exemplar e uniforme sempre impecável.,8.9,08410-000,12x36 Noite,Viana Correia S/A - Unidade 6
VIG-10201,Agatha Nascimento,637.***.***-62,2027-04-09,Transporte de Valores,"Perfil Analítico, Empatia, Trabalho sob Pressão, Discrição, Pontualidade Extrema","Focado e observador, antecipa riscos no perímetro.",7.3,01310-100,12x36 Noite,Sampaio - Unidade 6
VIG-10202,Davi Rodrigues,943.***.***-05,2027-10-16,Vigilância Patrimonial,"Proatividade, Atenção Concentrada, Discrição, Liderança de Equipe",Possui postura exemplar e uniforme sempre impecável.,8.3,02011-000,12x36 Noite,Aparecida Machado e Filhos - Unidade 7
VIG-10203,Murilo Rios,174.***.***-96,2027-04-11,"Segurança Pessoal (VSPP), Monitoramento de CFTV, Grandes Eventos","Perfil Analítico, Liderança de Equipe, Comunicação Assertiva, Discrição, Trabalho sob Pressão",Possui postura exemplar e uniforme sempre impecável.,8.5,08410-000,12x36 Noite,Pastor - ME - Unidade 6
VIG-10204,Maria Helena Viana,621.***.***-06,2027-12-01,Transporte de Valores,"Discrição, Liderança de Equipe, Empatia, Perfil Analítico, Inteligência Emocional, Proatividade",Excelente pontualidade e assiduidade.,6.7,01013-001,5x2 Comercial,Azevedo - Unidade 1
VIG-10205,Lucca Sales,350.***.***-51,2026-11-06,"Grandes Eventos, Escolta Armada","Discrição, Comunicação Assertiva, Liderança de Equipe, Perfil Analítico, Proatividade",Profissional muito elogiado pelo cliente.,8.5,02011-000,5x2 Comercial,Ferreira - EI - Unidade 10
VIG-10206,Maria Clara Câmara,192.***.***-11,2026-09-18,Segurança Pessoal (VSPP),"Inteligência Emocional, Comunicação Assertiva, Atenção Concentrada, Pontualidade Extrema, Liderança de Equipe, Proatividade",Demonstra facilidade em lidar com público diverso.,9.1,01415-000,12x36 Noite,Pereira - ME - Unidade 8
VIG-10207,Sra. Manuela Macedo,961.***.***-24,2026-08-09,Monitoramento de CFTV,"Atenção Concentrada, Discrição, Inteligência Emocional, Perfil Analítico",Profissional muito elogiado pelo cliente.,7.4,08410-000,12x36 Dia,Sá - Unidade 6
VIG-10208,Isadora Nascimento,981.***.***-50,2026-08-12,"Transporte de Valores, Monitoramento de CFTV, Vigilância Patrimonial","Perfil Analítico, Liderança de Equipe, Atenção Concentrada",Demonstra facilidade em lidar com público diverso.,7.9,01310-100,5x2 Comercial,Araújo Cavalcanti S.A. - Unidade 5
VIG-10209,Maria Isis Guerra,798.***.***-12,2026-01-02,Escolta Armada,"Discrição, Atenção Concentrada, Pontualidade Extrema, Perfil Analítico, Inteligência Emocional, Liderança de Equipe",Possui postura exemplar e uniforme sempre impecável.,9.4,02011-000,5x2 Comercial,Guerra Ltda. - Unidade 6
VIG-10210,Sr. Thiago Cavalcante,571.***.***-50,2026-03-12,"Vigilância Patrimonial, Monitoramento de CFTV, Grandes Eventos","Proatividade, Liderança de Equipe, Resolução de Conflitos, Trabalho sob Pressão",Possui postura exemplar e uniforme sempre impecável.,9.9,05407-002,5x2 Comercial,Pastor - Unidade 7
VIG-10211,José Miguel Rodrigues,605.***.***-17,2026-01-06,"Transporte de Valores, Grandes Eventos, Segurança Pessoal (VSPP)","Inteligência Emocional, Trabalho sob Pressão, Proatividade, Liderança de Equipe, Comunicação Assertiva, Pontualidade Extrema",Demonstra facilidade em lidar com público diverso.,8.2,01013-001,12x36 Dia,Cirino - Unidade 1
VIG-10212,Mariah Freitas,352.***.***-59,2027-10-26,"Monitoramento de CFTV, Vigilância Patrimonial","Perfil Analítico, Empatia, Inteligência Emocional, Resolução de Conflitos, Atenção Concentrada, Pontualidade Extrema",Excelente pontualidade e assiduidade.,9.7,08410-000,5x2 Comercial,Sampaio - EI - Unidade 4
VIG-10213,Rodrigo Viana,638.***.***-87,2025-06-25,"Grandes Eventos, Segurança Pessoal (VSPP), Transporte de Valores","Pontualidade Extrema, Inteligência Emocional, Liderança de Equipe, Resolução de Conflitos, Comunicação Assertiva",Demonstra facilidade em lidar com público diverso.,8.9,01415-000,12x36 Noite,Monteiro S/A - Unidade 1
VIG-10214,Maria Eduarda Barros,386.***.***-73,2025-12-21,"Escolta Armada, Vigilância Patrimonial","Atenção Concentrada, Resolução de Conflitos","Focado e observador, antecipa riscos no perímetro.",8.0,04794-000,5x2 Comercial,Moraes e Filhos - Unidade 9
VIG-10215,Paulo da Paz,457.***.***-61,2027-01-07,"Monitoramento de CFTV, Segurança Pessoal (VSPP)","Proatividade, Empatia",Excelente pontualidade e assiduidade.,8.5,04801-010,5x2 Comercial,Moreira - Unidade 3
VIG-10216,Sr. Kevin Mendes,859.***.***-94,2027-02-08,"Monitoramento de CFTV, Escolta Armada","Atenção Concentrada, Perfil Analítico, Empatia, Proatividade","Focado e observador, antecipa riscos no perímetro.",8.1,04794-000,12x36 Noite,Sampaio Ltda. - Unidade 6
VIG-10217,Sr. Lucca da Cunha,456.***.***-64,2025-11-29,Segurança Pessoal (VSPP),"Liderança de Equipe, Empatia, Inteligência Emocional",Profissional muito elogiado pelo cliente.,8.5,01310-100,5x2 Comercial,Garcia - ME - Unidade 10
VIG-10218,Carolina Lima,473.***.***-96,2027-11-30,"Grandes Eventos, Escolta Armada","Empatia, Discrição, Inteligência Emocional, Perfil Analítico, Liderança de Equipe",Profissional muito elogiado pelo cliente.,7.6,04794-000,5x2 Comercial,Moraes - EI - Unidade 4
VIG-10219,Oliver Marques,218.***.***-79,2027-04-24,"Grandes Eventos, Transporte de Valores, Segurança Pessoal (VSPP)","Trabalho sob Pressão, Comunicação Assertiva",Demonstra facilidade em lidar com público diverso.,9.4,01001-000,5x2 Comercial,Machado Ltda. - Unidade 1
VIG-10220,Dante Silva,984.***.***-69,2027-09-22,"Vigilância Patrimonial, Monitoramento de CFTV","Comunicação Assertiva, Empatia",Profissional muito elogiado pelo cliente.,6.8,04794-000,12x36 Dia,Cavalcanti - Unidade 4
VIG-10221,Anna Liz Silva,420.***.***-53,2025-06-22,"Vigilância Patrimonial, Grandes Eventos","Trabalho sob Pressão, Resolução de Conflitos, Comunicação Assertiva",Profissional muito elogiado pelo cliente.,8.7,01013-001,12x36 Dia,da Rosa S.A. - Unidade 4
VIG-10222,Benicio Jesus,259.***.***-23,2025-03-31,"Vigilância Patrimonial, Escolta Armada, Grandes Eventos","Comunicação Assertiva, Pontualidade Extrema",Excelente pontualidade e assiduidade.,6.6,02011-000,5x2 Comercial,Peixoto - Unidade 9
VIG-10223,Gustavo Henrique Guerra,349.***.***-50,2026-07-17,"Segurança Pessoal (VSPP), Monitoramento de CFTV","Perfil Analítico, Proatividade, Discrição, Empatia, Liderança de Equipe",Profissional muito elogiado pelo cliente.,8.1,02011-000,5x2 Comercial,Nascimento - Unidade 8
VIG-10224,Maria Alice Novaes,269.***.***-55,2026-03-12,"Escolta Armada, Grandes Eventos","Empatia, Resolução de Conflitos",Possui postura exemplar e uniforme sempre impecável.,8.0,04801-010,12x36 Noite,Souza Cirino - ME - Unidade 5
VIG-10225,Ana Lívia Dias,418.***.***-37,2026-03-08,Monitoramento de CFTV,"Empatia, Pontualidade Extrema, Inteligência Emocional, Discrição",Profissional muito elogiado pelo cliente.,7.1,01415-000,12x36 Dia,Silveira da Conceição e Filhos - Unidade 9
VIG-10226,Vinicius Almeida,730.***.***-52,2025-06-03,"Escolta Armada, Transporte de Valores","Inteligência Emocional, Proatividade, Pontualidade Extrema, Trabalho sob Pressão, Discrição",Demonstra facilidade em lidar com público diverso.,6.6,08410-000,5x2 Comercial,Garcia - Unidade 8
VIG-10227,Daniela Moreira,352.***.***-80,2026-05-16,Vigilância Patrimonial,"Comunicação Assertiva, Perfil Analítico",Demonstra facilidade em lidar com público diverso.,8.2,01013-001,5x2 Comercial,Sá Ltda. - Unidade 6
VIG-10228,Luiz Henrique Rezende,890.***.***-30,2026-07-14,Segurança Pessoal (VSPP),"Atenção Concentrada, Resolução de Conflitos",Excelente pontualidade e assiduidade.,8.8,01013-001,5x2 Comercial,Marques Pinto - ME - Unidade 1
VIG-10229,Kaique Mendes,283.***.***-24,2026-12-03,"Grandes Eventos, Escolta Armada","Perfil Analítico, Liderança de Equipe, Trabalho sob Pressão, Atenção Concentrada","Focado e observador, antecipa riscos no perímetro.",6.8,02011-000,12x36 Noite,Borges - Unidade 10
VIG-10230,Cecilia Câmara,850.***.***-39,2026-06-02,Segurança Pessoal (VSPP),"Liderança de Equipe, Pontualidade Extrema, Comunicação Assertiva",Demonstra facilidade em lidar com público diverso.,9.9,01001-000,12x36 Noite,Caldeira - Unidade 8
VIG-10231,Olivia Garcia,598.***.***-09,2027-02-23,"Transporte de Valores, Monitoramento de CFTV, Escolta Armada","Atenção Concentrada, Comunicação Assertiva, Resolução de Conflitos, Perfil Analítico",Profissional muito elogiado pelo cliente.,6.5,01013-001,12x36 Noite,Azevedo - EI - Unidade 8
VIG-10232,Gabriela Aragão,593.***.***-68,2025-11-26,"Monitoramento de CFTV, Vigilância Patrimonial, Transporte de Valores","Atenção Concentrada, Empatia, Comunicação Assertiva",Demonstra facilidade em lidar com público diverso.,9.2,05407-002,5x2 Comercial,Teixeira - EI - Unidade 5
VIG-10233,Alícia Silveira,537.***.***-10,2027-07-25,Grandes Eventos,"Perfil Analítico, Inteligência Emocional, Pontualidade Extrema, Atenção Concentrada, Liderança de Equipe, Trabalho sob Pressão",Profissional muito elogiado pelo cliente.,8.8,01013-001,12x36 Dia,Ribeiro - Unidade 3
VIG-10234,Sr. Pedro Nogueira,509.***.***-99,2026-02-18,"Transporte de Valores, Segurança Pessoal (VSPP)","Discrição, Liderança de Equipe, Perfil Analítico, Atenção Concentrada, Empatia, Inteligência Emocional",Excelente pontualidade e assiduidade.,7.7,01310-100,12x36 Dia,Carvalho - Unidade 4
VIG-10235,Marina Azevedo,165.***.***-05,2025-06-06,"Segurança Pessoal (VSPP), Grandes Eventos, Escolta Armada","Liderança de Equipe, Discrição, Comunicação Assertiva, Trabalho sob Pressão, Empatia, Resolução de Conflitos",Profissional muito elogiado pelo cliente.,8.6,05407-002,12x36 Noite,Lima - Unidade 2
VIG-10236,Luan Costa,730.***.***-17,2026-10-27,"Segurança Pessoal (VSPP), Monitoramento de CFTV, Vigilância Patrimonial","Atenção Concentrada, Perfil Analítico",Demonstra facilidade em lidar com público diverso.,7.8,04794-000,12x36 Noite,Duarte - EI - Unidade 1
VIG-10237,Srta. Maya Leão,617.***.***-76,2028-03-17,"Monitoramento de CFTV, Vigilância Patrimonial","Proatividade, Discrição, Inteligência Emocional, Empatia, Liderança de Equipe",Excelente pontualidade e assiduidade.,9.9,04801-010,12x36 Dia,Vargas - Unidade 6
VIG-10238,Maria Luiza Borges,724.***.***-04,2027-04-09,"Segurança Pessoal (VSPP), Vigilância Patrimonial","Pontualidade Extrema, Trabalho sob Pressão, Liderança de Equipe, Empatia, Discrição, Atenção Concentrada",Possui postura exemplar e uniforme sempre impecável.,9.2,01310-100,12x36 Dia,da Rocha Ltda. - Unidade 9
VIG-10239,Davi Azevedo,579.***.***-19,2026-03-24,Monitoramento de CFTV,"Proatividade, Trabalho sob Pressão, Inteligência Emocional, Comunicação Assertiva, Perfil Analítico, Discrição","Focado e observador, antecipa riscos no perímetro.",8.4,04794-000,12x36 Dia,Martins S.A. - Unidade 9
VIG-10240,Gabriela Barros,362.***.***-80,2027-07-08,"Vigilância Patrimonial, Grandes Eventos, Escolta Armada","Atenção Concentrada, Pontualidade Extrema",Excelente pontualidade e assiduidade.,7.7,01202-001,12x36 Noite,Gonçalves - Unidade 9
VIG-10241,Sra. Elisa Câmara,108.***.***-78,2027-10-26,Grandes Eventos,"Discrição, Pontualidade Extrema, Empatia","Focado e observador, antecipa riscos no perímetro.",9.2,01310-100,12x36 Dia,Monteiro - Unidade 10
VIG-10242,Sra. Amanda Monteiro,763.***.***-80,2025-11-30,"Grandes Eventos, Monitoramento de CFTV","Liderança de Equipe, Trabalho sob Pressão","Focado e observador, antecipa riscos no perímetro.",6.6,04794-000,12x36 Noite,Lima Peixoto Ltda. - Unidade 10
VIG-10243,Lucca Silveira,451.***.***-60,2025-07-23,"Transporte de Valores, Segurança Pessoal (VSPP), Grandes Eventos","Resolução de Conflitos, Discrição, Trabalho sob Pressão, Inteligência Emocional, Comunicação Assertiva",Possui postura exemplar e uniforme sempre impecável.,7.5,05407-002,12x36 Dia,Nascimento - Unidade 2
VIG-10244,Ravy Monteiro,892.***.***-83,2026-09-29,"Monitoramento de CFTV, Escolta Armada, Transporte de Valores","Proatividade, Atenção Concentrada",Excelente pontualidade e assiduidade.,8.6,01001-000,12x36 Dia,Peixoto - ME - Unidade 6
VIG-10245,Aylla Araújo,854.***.***-33,2026-09-12,"Grandes Eventos, Segurança Pessoal (VSPP)","Trabalho sob Pressão, Empatia, Atenção Concentrada","Focado e observador, antecipa riscos no perímetro.",9.9,04801-010,12x36 Noite,da Mata - Unidade 8
VIG-10246,Sr. Danilo Moura,410.***.***-94,2025-05-03,Vigilância Patrimonial,"Discrição, Trabalho sob Pressão",Profissional muito elogiado pelo cliente.,10.0,01013-001,5x2 Comercial,Brito - Unidade 2
VIG-10247,Eduardo Freitas,627.***.***-03,2025-04-17,"Grandes Eventos, Transporte de Valores","Perfil Analítico, Discrição, Liderança de Equipe, Atenção Concentrada, Pontualidade Extrema",Possui postura exemplar e uniforme sempre impecável.,6.8,04801-010,12x36 Noite,Oliveira Siqueira S.A. - Unidade 3
VIG-10248,Larissa Pimenta,691.***.***-96,2026-05-16,Escolta Armada,"Comunicação Assertiva, Trabalho sob Pressão, Empatia, Atenção Concentrada",Demonstra facilidade em lidar com público diverso.,7.1,04794-000,12x36 Noite,Cavalcante Azevedo S/A - Unidade 4
VIG-10249,Vicente Viana,071.***.***-96,2027-02-10,Transporte de Valores,"Inteligência Emocional, Resolução de Conflitos, Empatia","Focado e observador, antecipa riscos no perímetro.",9.3,01202-001,12x36 Noite,Casa Grande - Unidade 9
VIG-10250,Sr. Kevin Cirino,045.***.***-34,2025-10-15,"Segurança Pessoal (VSPP), Transporte de Valores, Vigilância Patrimonial","Liderança de Equipe, Perfil Analítico, Pontualidade Extrema","Focado e observador, antecipa riscos no perímetro.",8.0,04801-010,12x36 Dia,da Cruz - EI - Unidade 2
VIG-10251,Dom Fogaça,691.***.***-04,2027-04-10,Escolta Armada,"Trabalho sob Pressão, Proatividade, Liderança de Equipe",Profissional muito elogiado pelo cliente.,9.7,08410-000,5x2 Comercial,Pacheco Novaes e Filhos - Unidade 6
VIG-10252,Gustavo Marques,894.***.***-02,2025-12-14,"Escolta Armada, Grandes Eventos, Monitoramento de CFTV","Liderança de Equipe, Proatividade, Empatia, Resolução de Conflitos","Focado e observador, antecipa riscos no perímetro.",7.7,01013-001,12x36 Dia,Siqueira - Unidade 9
VIG-10253,Thiago Silva,194.***.***-55,2026-11-05,"Grandes Eventos, Monitoramento de CFTV","Atenção Concentrada, Discrição, Proatividade, Resolução de Conflitos",Profissional muito elogiado pelo cliente.,9.2,02011-000,5x2 Comercial,Montenegro - ME - Unidade 9
VIG-10254,Asafe Correia,351.***.***-20,2026-07-25,"Segurança Pessoal (VSPP), Vigilância Patrimonial","Inteligência Emocional, Comunicação Assertiva, Pontualidade Extrema",Profissional muito elogiado pelo cliente.,7.2,01001-000,12x36 Dia,Sales Abreu S/A - Unidade 7
VIG-10255,Brayan Souza,246.***.***-62,2025-06-13,Grandes Eventos,"Discrição, Resolução de Conflitos, Comunicação Assertiva, Trabalho sob Pressão, Proatividade, Atenção Concentrada",Possui postura exemplar e uniforme sempre impecável.,9.6,08410-000,12x36 Noite,Pastor - Unidade 9
VIG-10256,Igor Campos,167.***.***-73,2025-06-23,Grandes Eventos,"Empatia, Liderança de Equipe",Possui postura exemplar e uniforme sempre impecável.,7.6,01001-000,5x2 Comercial,da Mota - Unidade 3
VIG-10257,Melissa Moura,098.***.***-69,2026-11-25,"Segurança Pessoal (VSPP), Monitoramento de CFTV","Empatia, Comunicação Assertiva, Inteligência Emocional, Atenção Concentrada, Pontualidade Extrema",Profissional muito elogiado pelo cliente.,7.1,08410-000,12x36 Noite,Borges da Mota e Filhos - Unidade 4
VIG-10258,Isis Mendonça,579.***.***-39,2026-03-20,Vigilância Patrimonial,"Atenção Concentrada, Liderança de Equipe, Empatia, Trabalho sob Pressão",Demonstra facilidade em lidar com público diverso.,9.3,04794-000,12x36 Noite,Peixoto Viana S.A. - Unidade 4
VIG-10259,Caio Siqueira,149.***.***-23,2027-05-03,Transporte de Valores,"Liderança de Equipe, Perfil Analítico, Atenção Concentrada, Comunicação Assertiva, Resolução de Conflitos",Demonstra facilidade em lidar com público diverso.,6.5,04794-000,12x36 Noite,Freitas - Unidade 7
VIG-10260,Manuella Barros,273.***.***-28,2026-04-29,"Escolta Armada, Segurança Pessoal (VSPP), Grandes Eventos","Empatia, Liderança de Equipe",Possui postura exemplar e uniforme sempre impecável.,7.9,01001-000,5x2 Comercial,Ramos - Unidade 5
VIG-10261,Rodrigo Ribeiro,731.***.***-79,2025-05-13,Grandes Eventos,"Discrição, Liderança de Equipe, Resolução de Conflitos",Profissional muito elogiado pelo cliente.,6.8,01013-001,12x36 Noite,Melo Montenegro Ltda. - Unidade 7
VIG-10262,Vinicius Rezende,784.***.***-07,2028-03-14,"Transporte de Valores, Segurança Pessoal (VSPP), Vigilância Patrimonial","Trabalho sob Pressão, Pontualidade Extrema",Possui postura exemplar e uniforme sempre impecável.,7.7,08410-000,12x36 Dia,da Rocha - Unidade 2
VIG-10263,Erick Moura,164.***.***-49,2026-06-21,"Monitoramento de CFTV, Grandes Eventos","Perfil Analítico, Atenção Concentrada, Inteligência Emocional, Discrição",Demonstra facilidade em lidar com público diverso.,7.4,02011-000,12x36 Dia,Siqueira Pinto - ME - Unidade 6
VIG-10264,Heloísa Azevedo,572.***.***-02,2026-01-21,"Escolta Armada, Vigilância Patrimonial, Grandes Eventos","Empatia, Proatividade, Comunicação Assertiva, Resolução de Conflitos",Possui postura exemplar e uniforme sempre impecável.,8.0,01001-000,12x36 Noite,Rios S/A - Unidade 2
VIG-10265,Sra. Nicole Castro,190.***.***-25,2026-02-14,"Monitoramento de CFTV, Escolta Armada, Vigilância Patrimonial","Perfil Analítico, Resolução de Conflitos, Trabalho sob Pressão, Discrição, Pontualidade Extrema, Atenção Concentrada",Possui postura exemplar e uniforme sempre impecável.,9.8,08410-000,12x36 Noite,Cirino - Unidade 10
VIG-10266,Maria Vitória Casa Grande,504.***.***-70,2026-04-22,Transporte de Valores,"Trabalho sob Pressão, Empatia, Perfil Analítico, Proatividade, Liderança de Equipe",Demonstra facilidade em lidar com público diverso.,6.5,08410-000,12x36 Noite,Carvalho - Unidade 2
VIG-10267,Luigi Albuquerque,736.***.***-03,2026-12-20,Vigilância Patrimonial,"Inteligência Emocional, Resolução de Conflitos, Discrição, Pontualidade Extrema, Proatividade, Empatia",Profissional muito elogiado pelo cliente.,7.9,01013-001,12x36 Noite,da Mota Moraes - ME - Unidade 5
VIG-10268,Srta. Heloisa Viana,096.***.***-22,2025-09-20,"Vigilância Patrimonial, Grandes Eventos, Transporte de Valores","Pontualidade Extrema, Discrição, Inteligência Emocional, Resolução de Conflitos, Comunicação Assertiva",Excelente pontualidade e assiduidade.,7.1,08410-000,5x2 Comercial,Lima - Unidade 5
VIG-10269,Arthur Gabriel da Cunha,573.***.***-88,2026-07-07,Segurança Pessoal (VSPP),"Perfil Analítico, Empatia, Resolução de Conflitos, Inteligência Emocional",Demonstra facilidade em lidar com público diverso.,9.3,01310-100,5x2 Comercial,Guerra - Unidade 10
VIG-10270,Luiz Gustavo da Rosa,152.***.***-24,2026-08-06,"Transporte de Valores, Grandes Eventos","Liderança de Equipe, Comunicação Assertiva",Excelente pontualidade e assiduidade.,8.0,04801-010,12x36 Noite,Vargas - ME - Unidade 9
VIG-10271,João Miguel Ribeiro,483.***.***-19,2026-10-27,"Transporte de Valores, Monitoramento de CFTV","Proatividade, Empatia, Discrição, Resolução de Conflitos, Inteligência Emocional",Excelente pontualidade e assiduidade.,8.5,04801-010,5x2 Comercial,Rocha - Unidade 10
VIG-10272,Dr. Yuri Lima,690.***.***-00,2027-01-28,Grandes Eventos,"Pontualidade Extrema, Liderança de Equipe, Proatividade","Focado e observador, antecipa riscos no perímetro.",9.4,05407-002,5x2 Comercial,da Conceição - Unidade 2
VIG-10273,Dr. João Guilherme Teixeira,463.***.***-56,2026-06-22,"Vigilância Patrimonial, Monitoramento de CFTV","Resolução de Conflitos, Atenção Concentrada, Pontualidade Extrema",Excelente pontualidade e assiduidade.,7.2,01013-001,12x36 Dia,Vieira - EI - Unidade 6
VIG-10274,Sabrina Jesus,405.***.***-14,2027-02-07,"Monitoramento de CFTV, Transporte de Valores","Inteligência Emocional, Empatia",Possui postura exemplar e uniforme sempre impecável.,7.0,08410-000,5x2 Comercial,Pires S.A. - Unidade 3
VIG-10275,Aylla Casa Grande,649.***.***-34,2026-03-21,Monitoramento de CFTV,"Atenção Concentrada, Perfil Analítico, Trabalho sob Pressão, Comunicação Assertiva, Inteligência Emocional",Profissional muito elogiado pelo cliente.,8.3,04801-010,12x36 Dia,Farias - Unidade 10
VIG-10276,Nina Sales,245.***.***-08,2027-04-07,"Transporte de Valores, Escolta Armada, Vigilância Patrimonial","Empatia, Liderança de Equipe, Resolução de Conflitos, Comunicação Assertiva",Profissional muito elogiado pelo cliente.,7.6,01310-100,5x2 Comercial,Mendonça - Unidade 4
VIG-10277,Sra. Isabelly Silva,681.***.***-62,2026-09-17,"Escolta Armada, Segurança Pessoal (VSPP)","Atenção Concentrada, Liderança de Equipe, Trabalho sob Pressão",Possui postura exemplar e uniforme sempre impecável.,9.8,02011-000,12x36 Noite,Cirino S.A. - Unidade 9
VIG-10278,Juan Dias,041.***.***-17,2026-12-09,Monitoramento de CFTV,"Empatia, Pontualidade Extrema, Trabalho sob Pressão, Comunicação Assertiva",Demonstra facilidade em lidar com público diverso.,7.6,01310-100,12x36 Dia,da Luz S/A - Unidade 4
VIG-10279,Sr. Carlos Eduardo Brito,148.***.***-39,2027-12-06,"Vigilância Patrimonial, Transporte de Valores","Trabalho sob Pressão, Comunicação Assertiva, Perfil Analítico, Proatividade, Pontualidade Extrema, Resolução de Conflitos",Profissional muito elogiado pelo cliente.,7.4,04801-010,5x2 Comercial,Pimenta - Unidade 2
VIG-10280,Helena Gonçalves,320.***.***-05,2027-10-04,Grandes Eventos,"Comunicação Assertiva, Liderança de Equipe","Focado e observador, antecipa riscos no perímetro.",7.0,01001-000,5x2 Comercial,Ribeiro e Filhos - Unidade 9
VIG-10281,Dr. Luan Fogaça,105.***.***-89,2026-03-09,"Escolta Armada, Monitoramento de CFTV, Vigilância Patrimonial","Comunicação Assertiva, Atenção Concentrada, Trabalho sob Pressão, Discrição",Possui postura exemplar e uniforme sempre impecável.,9.4,01202-001,12x36 Dia,Cirino e Filhos - Unidade 6
VIG-10282,Isabel Martins,021.***.***-69,2026-04-28,Escolta Armada,"Trabalho sob Pressão, Comunicação Assertiva, Proatividade, Discrição",Possui postura exemplar e uniforme sempre impecável.,9.5,08410-000,5x2 Comercial,Rios - Unidade 7
VIG-10283,Joaquim Montenegro,301.***.***-52,2025-06-30,Escolta Armada,"Liderança de Equipe, Pontualidade Extrema, Trabalho sob Pressão, Proatividade, Discrição",Demonstra facilidade em lidar com público diverso.,8.4,05407-002,12x36 Noite,Rodrigues da Mata S.A. - Unidade 6
VIG-10284,Dra. Julia Teixeira,785.***.***-44,2026-04-24,"Segurança Pessoal (VSPP), Vigilância Patrimonial","Resolução de Conflitos, Empatia","Focado e observador, antecipa riscos no perímetro.",7.2,02011-000,5x2 Comercial,Borges Dias - EI - Unidade 2
VIG-10285,Sr. Benjamim Siqueira,730.***.***-47,2025-07-24,"Monitoramento de CFTV, Vigilância Patrimonial","Proatividade, Discrição, Comunicação Assertiva, Pontualidade Extrema, Inteligência Emocional, Atenção Concentrada",Profissional muito elogiado pelo cliente.,8.7,01310-100,12x36 Noite,Moreira Carvalho S.A. - Unidade 5
VIG-10286,Sr. Brayan Novaes,367.***.***-00,2025-05-16,"Grandes Eventos, Vigilância Patrimonial","Proatividade, Discrição, Inteligência Emocional",Possui postura exemplar e uniforme sempre impecável.,8.6,08410-000,5x2 Comercial,Almeida - Unidade 4
VIG-10287,Otávio Duarte,632.***.***-92,2027-01-11,"Vigilância Patrimonial, Transporte de Valores, Monitoramento de CFTV","Liderança de Equipe, Perfil Analítico, Trabalho sob Pressão, Discrição, Atenção Concentrada","Focado e observador, antecipa riscos no perímetro.",9.8,02011-000,12x36 Noite,da Paz da Mota - ME - Unidade 2
VIG-10288,Raul Moraes,450.***.***-16,2028-03-01,Escolta Armada,"Atenção Concentrada, Proatividade","Focado e observador, antecipa riscos no perímetro.",7.3,02011-000,12x36 Noite,Vargas Carvalho Ltda. - Unidade 7
VIG-10289,Olívia Cunha,186.***.***-07,2028-01-17,Monitoramento de CFTV,"Liderança de Equipe, Trabalho sob Pressão, Resolução de Conflitos",Possui postura exemplar e uniforme sempre impecável.,9.9,04801-010,12x36 Noite,Mendes - Unidade 4
VIG-10290,Arthur Miguel Moura,065.***.***-62,2025-10-18,"Monitoramento de CFTV, Vigilância Patrimonial","Perfil Analítico, Pontualidade Extrema, Discrição, Proatividade, Liderança de Equipe, Trabalho sob Pressão",Demonstra facilidade em lidar com público diverso.,7.4,01310-100,12x36 Dia,Mendes Rocha Ltda. - Unidade 2
